9.00
# Real | RAGE project by The Real_Gabe http://www.realrage.therealgabe.net | Do not claim you made this mod and don’t upload and/or alter it without my permission
#################################################################################################################################################
#																																				#
#  The table below is used to look up what happens to a material when it collides with another													#
#  To see what happens to a material we look up its row and then cross reference with the column of												#
#  the material it has collided with the resulting index is used in the list of infos below this table											#
#  to find out what to do to the material																										#
#																																				#
#################################################################################################################################################
#																																				#
#						PUNCH_KICK				PISTOL_SMALL			SHOTGUN				ROCKET						LASER					#
#						    MELEE_WOOD				PISTOL_LARGE			RIFLE_ASSAULT  	    GRENADE						STUNGUN				#
#								MELEE_METAL				PISTOL_SILENCED			RIFLE_SNIPER		MOLOTOV						HEAVY_MG		#
#									MELEE_SHARP				RUBBER    	    		   					FIRE						VEHICLE_MG	#
#										MELEE_GENERIC			SMG											EXPLOSION					SPARE2  #
#																																				#
#################################################################################################################################################

WEAPONFX_TABLE_START

VOID					0   0	0   0	0		0   0   0   0	0		0   0   0   		903   0   0   0 903	    	0	0   0	0	0
GENERIC					0   500 500 500 500		999 999 999 999 999		999 999 999			903 908 950 900	903	    	0	700 999	999	0
																																	
CONCRETE				0   500 500 500 500		110 111 110 130	110		114 111 111			904 909 950 900	904			0	700 113	112	0
CONCRETE_DUSTY			0   500 500 500 500		110 111 110 130	110		114 111 111			904 909 950 900	904			0	700 113	112	0
TARMAC					0   500 500 500 500		295 296 295 130	295		299 296 296			904 909 950 900	904			0	700 298	297	0
TARMAC_BRITTLE			0   500 500 500 500		295 296 295 130	295		298 296 296			904 909 950 900	904	    	0	700 297	297	0
STONE					0   500 500 500 500		110 111 110 130	110		114 111 111			904 909 950 900	904			0	700 113	112	0
BRICK					0   500 500 500 500		260 261 260 130	260		264 261 261			904 909 950 900	904			0	700 263	262	0
MARBLE					0   500 500 500 500		110 111 110 130	110		114 111 111			904 909 950 900	904			0	700 113	112	0
PAVING					0   500 500 500 500		110 111 110 130	110		114 111 111			904 909 950 900	904			0	700 113	112	0
SANDSTONE				0   500 500 500 500		170 171 170 170	171		174 171 171			904 909 950 900	904			0	700 173	172	0
SANDSTONE_BRITTLE		0   500 500 500 500		170 171 170 170	171		174 171 171			904 909 950 900	904			0	700 173	172	0
																																	
SAND_LOOSE				0   0   0   0   0   	155 156 155 155	155		159 156 156			905 910 950 900	905			0	700 158	157	0
SAND_COMPACT			0   0   0   0   0   	160 161 160 160	161		164 161 161			905 910 950 900	905			0	700 163	162	0
SAND_WET				0   0   0   0   0   	165 166 165 165	165		169 166 166			905 910 950 900	905			0	700 168	167	0
SAND_UNDERWATER			0   0   0   0   0   	165 166 165 165	165		169 166 166			905 910 950 900	905			0	700 168	167	0
SAND_DEEP				0   0   0   0   0   	155 156 155 155	155		159 156 156			905 910 950 900	905			0	700 158	157	0
SAND_WET_DEEP			0   0   0   0   0   	165 166 165 165	165		169 166 166			905 910 950 900	905			0	700 168	167	0
ICE						0   530 530 530 530		240 241 240 240	240		244 241 241			903 911 950 900	903 	    0	700 243	242	0
SNOW_LOOSE				0   280 280 280 280 	280 281 280 280	240		284 281 281			905 910 950 900	905 	    0	700 283	282	0
SNOW_COMPACT			0   530 530 530 530		240 241 240 240	240		244 241 241			905 910 950 900	905 	    0	700 243	242	0
GRAVEL					0   500 500 500 500		150 151 150 130	150		154 151 151			903 911 950 900	903			0	700 153	152	0
GRAVEL_DEEP				0   500 500 500 500		150 151 150 130	150		154 151 151			903 911 950 900	903			0	700 153	152	0
DIRT_DRY				0   0   0   0   0   	200 201 200 200	200		204 201 201			905 910 950 900	905			0	700 203	202	0
MUD_SOFT				0   0   0   0   0   	165 166 165 165	165		169 166 166			905 910 950 900	905			0	700 168	167	0
MUD_DEEP				0   0   0   0   0   	165 166 165 165	165		169 166 166			905 910 950 900	905			0	700 168	167	0
MUD_UNDERWATER			0   0   0   0   0   	165 166 165 165	165		169 166 166			905 910 950 900	905			0	700 168	167	0
CLAY					0   0   0   0   0   	180 180 180 180	180		180 180 181			905 910 950 900	905 	    0	700 181	181	0
																																	
GRASS					0   0	0   0	0		183 184 183 130	183		187 184 184			903 911 950 900	907 	    0	700 186	185	0
GRASS_SHORT				0   0	0   0	0		184 184 184 184	184		184 184 185			903 911 950 900	907 	    0	700 185	185	0
HAY						0   0	0   0	0		195 196 195 195	195		199 196 196			904 909 950 900	904			0	700 198	197	0
BUSHES					0   210 210 210 210		210 210 210 210 210 	215 211 211 		903 911 950 907 907 	    0	700 213	212	0
TREE_BARK				0   520 520 520 520		120 121 120 130	121		122 121 121			903 911 950 900	906 	    0	700 121	121	0
LEAVES					0   210 210 210 210 	210 211 210 210 210 	215 211 211 		903 911 950 900	908			0	700 213	212	0
																																	
METAL					0   510 510 510 510 	101 102 101 130	101		105 102 102			903 911 950 900	903 	    0	702 104	103	0
																																	
WOOD					0   520 520 520 520		120 121 120 130	120		122 121 121			903 911 950 900	906 	    0	700 124	123	0
WOOD_DUSTY				0   520 520 520 520		120 121 120 130	120		122 121 121			903 911 950 900	906 	    0	700 124	123	0
WOOD_SPLINTER			0   520 520 520 520		120 121 120 130	120		122 121 121			903 911 950 900	906			0	700 124	123	0
																																	
CERAMIC					0   500 500 500 500		110 111 110 130	110		114 111 111			903 911 950 900	903 	    0	700 113	112	0
CARPET_FABRIC			0   0   0   0   0		220 221 220 130	220		224 221 221			903 911 950 900	903 	    0	700 223	222	0
CARPET_FABRIC_DUSTY		0   0   0   0   0		220 221 220 130	220		224 221 221			903 911 950 900	903 	    0	700 223	222	0
PLASTIC					0   500 500 500 500		134 135 134 130	134		138 135 135			903 911 950 900	903 	    0	702 136	137	0
PLASTIC_HOLLOW			0   500 500 500 500		134 135 134 130	134		138 135 135			903 911 950 900	903 	    0	702 136	137	0
RUBBER					0   0   0   0   0		130 130 130 130	130 	133 130 131 		903 911 950 900	906 	    0	700 132	132	0
LINOLEUM				0   520 520 520 520		110 111 110 130	110		114 111 113			903 911 950 900	903			0	700 113	112	0
PLASTER_BRITTLE			0   500 500 500 500		115 116 115 130	150		119 116 118			903 911 950 900	903 	    0	700 118	117	0
CARDBOARD				0   0   0   0   0		190 191 190 130	190		194 191 191			903 911 950 900	903 	    0	702 193	192	0
PAPER					0   0   0   0	0		140 141 140 130	140		144 141 141			903 911 950 900	903 	    0	702 143	142	0
FOAM					0   0   0   0	0		175 176 175 175	175		179 176 176			903 911 950 900	904			0	700 178	177	0
FEATHERS				0   230 230 230 230 	230 231 230 230	230		234 231 231			903 911 950 900	903 	    0	700 233	232	0
TVSCREEN				0   240 240 240 240 	240 241 240 240	240		244 241 241			903 911 950 900	903 	    0	700 243	242	0
																																	
GLASS					531 530 530 530 530		50  51  50  50	51		01  52  55			57	57 950 900	57			0	50	58	56	0
GLASS_BULLETPROOF		0   240 240 240 240 	240 241 240 240	240		244 241 241			903 911 950 900	903 	    0	700 243	56	0
																																	
CAR_METAL				0   515 510 510 510 	101 102 101 130	101		105 102 102			903 911 950 900	903 	    0	702 104	103	0
CAR_PLASTIC				0   515 510 510 510 	134 135 134 130	134		138 135 135			903 911 950 900	903 	    0	702 136	137	0
CAR_GLASS				531 530 530 530 530		50  51  50  50	51		01  52  55			57	57  950 900	57			0	50	58	56	0
																																	
PUDDLE					0   0	0   0	0		310 310 310 310	310		310 310 310			312 313 313	0	0	    	0	0   314	315	0

LIQUID_WATER			0   0	0   0	0		310 310 310 310	310		310 310 310			312 313 313	0	0	    	0	0   314	311	0
LIQUID_BLOOD			0   0	0   0	0		320 320 320 320	320		320 320 320			321 321 321 0	0	    	0	0   320	320	0
LIQUID_OIL				0   0	0   0	0		330 330 330 330	330		330 330 330			331 331 331 0	0	    	0	0   330	330	0
LIQUID_PETROL			0   0	0   0	0		340 340 340 340	340		340 340 340			341 341 341 0	0	    	0	0   340	340	0
LIQUID_MUD				0   0	0   0	0		350 350 350 350	350		350 350 350			351 351 351 0	0	    	0	0   350	350	0
																																	
FRESH_MEAT				0   0	0   0	0		290 290 290 290	290		290	291	291			290	290	290	290	290			290	290	291	291	0
